Service Sectors,Age Group,Year,No. of employed,Gender
Financial & Insurance Services,60 - 64,2022,5.8,Female
Real Estate Services,60 - 64,2022,3.4,Female
Professional And Administrative & Support,60 - 64,2022,9.2,Female
Wholesale & Retail Trade,65 or over,2022,14.8,Female
Transportation & Storage,65 or over,2022,3.4,Female
Accommodation & Food Services,65 or over,2022,12.5,Female
Information & Communications,65 or over,2022,1.2,Female
Financial & Insurance Services,65 or over,2022,4.2,Female
Real Estate Services,65 or over,2022,3.0,Female
Professional And Administrative & Support,65 or over,2022,7.2,Female
Wholesale & Retail Trade,15 - 19,2021,1.7,Female
Transportation & Storage,15 - 19,2021,0.6,Female
Accommodation & Food Services,15 - 19,2021,2.9,Female
Information & Communications,15 - 19,2021,0.2,Female
Financial & Insurance Services,15 - 19,2021,0.6,Female
Real Estate Services,15 - 19,2021,0.1,Female
Professional And Administrative & Support,15 - 19,2021,0.7,Female
Wholesale & Retail Trade,20 - 24,2021,7.7,Female
Transportation & Storage,20 - 24,2021,2.4,Female
Accommodation & Food Services,20 - 24,2021,4.5,Female
Information & Communications,20 - 24,2021,4.8,Female
Financial & Insurance Services,20 - 24,2021,5.2,Female
Real Estate Services,20 - 24,2021,0.9,Female
Professional And Administrative & Support,20 - 24,2021,6.1000000000000005,Female
Wholesale & Retail Trade,25 - 29,2021,13.7,Female
Transportation & Storage,25 - 29,2021,5.6,Female
Accommodation & Food Services,25 - 29,2021,3.5,Female
Information & Communications,25 - 29,2021,9.0,Female
Financial & Insurance Services,25 - 29,2021,14.2,Female
Real Estate Services,25 - 29,2021,2.2,Female
Professional And Administrative & Support,25 - 29,2021,16.4,Female
Wholesale & Retail Trade,30 - 34,2021,18.6,Female
Transportation & Storage,30 - 34,2021,7.5,Female
Accommodation & Food Services,30 - 34,2021,5.1,Female
Information & Communications,30 - 34,2021,8.8,Female
Financial & Insurance Services,30 - 34,2021,19.4,Female
Real Estate Services,30 - 34,2021,3.3,Female
Professional And Administrative & Support,30 - 34,2021,22.7,Female
Wholesale & Retail Trade,35 - 39,2021,20.7,Female
Transportation & Storage,35 - 39,2021,6.1,Female
Accommodation & Food Services,35 - 39,2021,5.2,Female
Information & Communications,35 - 39,2021,6.9,Female
Financial & Insurance Services,35 - 39,2021,19.0,Female
Real Estate Services,35 - 39,2021,2.9,Female
Professional And Administrative & Support,35 - 39,2021,21.9,Female
Wholesale & Retail Trade,40 - 44,2021,21.9,Female
Transportation & Storage,40 - 44,2021,6.6,Female
Accommodation & Food Services,40 - 44,2021,6.0,Female
Information & Communications,40 - 44,2021,6.3,Female
Financial & Insurance Services,40 - 44,2021,16.6,Female
Real Estate Services,40 - 44,2021,2.9,Female
Professional And Administrative & Support,40 - 44,2021,19.5,Female
Wholesale & Retail Trade,45 - 49,2021,21.5,Female
Transportation & Storage,45 - 49,2021,5.9,Female
Accommodation & Food Services,45 - 49,2021,6.8,Female
Information & Communications,45 - 49,2021,5.6,Female
Financial & Insurance Services,45 - 49,2021,12.5,Female
Real Estate Services,45 - 49,2021,3.4,Female
Professional And Administrative & Support,45 - 49,2021,15.9,Female
Wholesale & Retail Trade,50 - 54,2021,17.9,Female
Transportation & Storage,50 - 54,2021,3.4,Female
Accommodation & Food Services,50 - 54,2021,7.1,Female
Information & Communications,50 - 54,2021,4.0,Female
Financial & Insurance Services,50 - 54,2021,9.6,Female
Real Estate Services,50 - 54,2021,3.1,Female
Professional And Administrative & Support,50 - 54,2021,12.7,Female
Wholesale & Retail Trade,55 - 59,2021,16.3,Female
Transportation & Storage,55 - 59,2021,4.4,Female
Accommodation & Food Services,55 - 59,2021,7.9,Female
Information & Communications,55 - 59,2021,2.1,Female
Financial & Insurance Services,55 - 59,2021,8.4,Female
Real Estate Services,55 - 59,2021,3.2,Female
Professional And Administrative & Support,55 - 59,2021,11.600000000000001,Female
Wholesale & Retail Trade,60 - 64,2021,15.6,Female
Transportation & Storage,60 - 64,2021,4.0,Female
Accommodation & Food Services,60 - 64,2021,9.7,Female
Information & Communications,60 - 64,2021,1.5,Female
Financial & Insurance Services,60 - 64,2021,5.0,Female
Real Estate Services,60 - 64,2021,2.6,Female
Professional And Administrative & Support,60 - 64,2021,7.6,Female
Wholesale & Retail Trade,65 or over,2021,14.0,Female
Transportation & Storage,65 or over,2021,3.0,Female
Accommodation & Food Services,65 or over,2021,11.4,Female
Information & Communications,65 or over,2021,0.7,Female
Financial & Insurance Services,65 or over,2021,3.8,Female
Real Estate Services,65 or over,2021,2.2,Female
Professional And Administrative & Support,65 or over,2021,6.0,Female
Wholesale & Retail Trade,15 - 19,2020,1.4,Female
Transportation & Storage,15 - 19,2020,0.4,Female
Accommodation & Food Services,15 - 19,2020,2.0,Female
Information & Communications,15 - 19,2020,0.4,Female
Financial & Insurance Services,15 - 19,2020,0.5,Female
Real Estate Services,15 - 19,2020,0.1,Female
Professional And Administrative & Support,15 - 19,2020,0.6,Female
Wholesale & Retail Trade,20 - 24,2020,8.2,Female
Transportation & Storage,20 - 24,2020,4.0,Female
Accommodation & Food Services,20 - 24,2020,4.3,Female
Information & Communications,20 - 24,2020,3.8,Female
Financial & Insurance Services,20 - 24,2020,4.6,Female
Real Estate Services,20 - 24,2020,0.7,Female
Professional And Administrative & Support,20 - 24,2020,5.3,Female
Wholesale & Retail Trade,25 - 29,2020,14.0,Female
Transportation & Storage,25 - 29,2020,5.4,Female
Accommodation & Food Services,25 - 29,2020,4.8,Female
Information & Communications,25 - 29,2020,8.5,Female
Financial & Insurance Services,25 - 29,2020,15.4,Female
Real Estate Services,25 - 29,2020,2.6,Female
Professional And Administrative & Support,25 - 29,2020,18.0,Female
Wholesale & Retail Trade,30 - 34,2020,16.0,Female
Transportation & Storage,30 - 34,2020,6.5,Female
Accommodation & Food Services,30 - 34,2020,5.4,Female
Information & Communications,30 - 34,2020,6.6,Female
Financial & Insurance Services,30 - 34,2020,16.7,Female
Real Estate Services,30 - 34,2020,2.7,Female
Professional And Administrative & Support,30 - 34,2020,19.4,Female
Wholesale & Retail Trade,35 - 39,2020,21.7,Female
Transportation & Storage,35 - 39,2020,6.8,Female
Accommodation & Food Services,35 - 39,2020,7.0,Female
Information & Communications,35 - 39,2020,7.4,Female
Financial & Insurance Services,35 - 39,2020,16.8,Female
Real Estate Services,35 - 39,2020,3.6,Female
Professional And Administrative & Support,35 - 39,2020,20.400000000000002,Female
Wholesale & Retail Trade,40 - 44,2020,21.0,Female
Transportation & Storage,40 - 44,2020,6.2,Female
Accommodation & Food Services,40 - 44,2020,5.2,Female
Information & Communications,40 - 44,2020,6.2,Female
Financial & Insurance Services,40 - 44,2020,15.3,Female
Real Estate Services,40 - 44,2020,3.2,Female
Professional And Administrative & Support,40 - 44,2020,18.5,Female
Wholesale & Retail Trade,45 - 49,2020,21.6,Female
Transportation & Storage,45 - 49,2020,5.8,Female
Accommodation & Food Services,45 - 49,2020,6.7,Female
Information & Communications,45 - 49,2020,5.5,Female
Financial & Insurance Services,45 - 49,2020,14.7,Female
Real Estate Services,45 - 49,2020,3.7,Female
Professional And Administrative & Support,45 - 49,2020,18.4,Female
Wholesale & Retail Trade,50 - 54,2020,19.4,Female
Transportation & Storage,50 - 54,2020,5.9,Female
Accommodation & Food Services,50 - 54,2020,7.7,Female
Information & Communications,50 - 54,2020,2.4,Female
Financial & Insurance Services,50 - 54,2020,9.9,Female
Real Estate Services,50 - 54,2020,2.3,Female
Professional And Administrative & Support,50 - 54,2020,12.2,Female
Wholesale & Retail Trade,55 - 59,2020,18.2,Female
Transportation & Storage,55 - 59,2020,5.2,Female
Accommodation & Food Services,55 - 59,2020,10.1,Female
Information & Communications,55 - 59,2020,1.9,Female
Financial & Insurance Services,55 - 59,2020,7.2,Female
Real Estate Services,55 - 59,2020,2.9,Female
Professional And Administrative & Support,55 - 59,2020,10.1,Female
Wholesale & Retail Trade,60 - 64,2020,14.1,Female
Transportation & Storage,60 - 64,2020,3.7,Female
Accommodation & Food Services,60 - 64,2020,9.3,Female
Information & Communications,60 - 64,2020,1.4,Female
Financial & Insurance Services,60 - 64,2020,4.0,Female
Real Estate Services,60 - 64,2020,2.2,Female
Professional And Administrative & Support,60 - 64,2020,6.2,Female
Wholesale & Retail Trade,65 or over,2020,12.0,Female
Transportation & Storage,65 or over,2020,2.8,Female
Accommodation & Food Services,65 or over,2020,10.6,Female
Information & Communications,65 or over,2020,1.0,Female
Financial & Insurance Services,65 or over,2020,2.6,Female
Real Estate Services,65 or over,2020,2.0,Female
Professional And Administrative & Support,65 or over,2020,4.6,Female
Wholesale & Retail Trade,15 - 19,2019,2.5,Female
Transportation & Storage,15 - 19,2019,0.5,Female
Accommodation & Food Services,15 - 19,2019,2.9,Female
Information & Communications,15 - 19,2019,0.3,Female
Financial & Insurance Services,15 - 19,2019,0.5,Female
Real Estate Services,15 - 19,2019,0.1,Female
Professional And Administrative & Support,15 - 19,2019,0.6,Female
Wholesale & Retail Trade,20 - 24,2019,8.0,Female
Transportation & Storage,20 - 24,2019,3.3,Female
Accommodation & Food Services,20 - 24,2019,5.7,Female
Information & Communications,20 - 24,2019,3.8,Female
Financial & Insurance Services,20 - 24,2019,5.1,Female
Real Estate Services,20 - 24,2019,0.7,Female
Professional And Administrative & Support,20 - 24,2019,5.8,Female
Wholesale & Retail Trade,25 - 29,2019,13.4,Female
Transportation & Storage,25 - 29,2019,5.7,Female
Accommodation & Food Services,25 - 29,2019,3.3,Female
Information & Communications,25 - 29,2019,6.9,Female
Financial & Insurance Services,25 - 29,2019,15.1,Female
Real Estate Services,25 - 29,2019,1.6,Female
Professional And Administrative & Support,25 - 29,2019,16.7,Female
Wholesale & Retail Trade,30 - 34,2019,18.6,Female
Transportation & Storage,30 - 34,2019,5.4,Female
Accommodation & Food Services,30 - 34,2019,3.6,Female
Information & Communications,30 - 34,2019,6.9,Female
Financial & Insurance Services,30 - 34,2019,15.8,Female
Real Estate Services,30 - 34,2019,2.6,Female
Professional And Administrative & Support,30 - 34,2019,18.400000000000002,Female
Wholesale & Retail Trade,35 - 39,2019,21.0,Female
Transportation & Storage,35 - 39,2019,5.6,Female
Accommodation & Food Services,35 - 39,2019,6.4,Female
Information & Communications,35 - 39,2019,6.4,Female
Financial & Insurance Services,35 - 39,2019,16.7,Female
Real Estate Services,35 - 39,2019,3.5,Female
Professional And Administrative & Support,35 - 39,2019,20.2,Female
Wholesale & Retail Trade,40 - 44,2019,22.0,Female
Transportation & Storage,40 - 44,2019,6.7,Female
Accommodation & Food Services,40 - 44,2019,7.0,Female
Information & Communications,40 - 44,2019,5.6,Female
Financial & Insurance Services,40 - 44,2019,16.3,Female
Real Estate Services,40 - 44,2019,2.9,Female
Professional And Administrative & Support,40 - 44,2019,19.2,Female
Wholesale & Retail Trade,45 - 49,2019,22.7,Female
Transportation & Storage,45 - 49,2019,6.3,Female
Accommodation & Food Services,45 - 49,2019,7.9,Female
Information & Communications,45 - 49,2019,5.0,Female
Financial & Insurance Services,45 - 49,2019,13.0,Female
Real Estate Services,45 - 49,2019,3.3,Female
Professional And Administrative & Support,45 - 49,2019,16.3,Female
Wholesale & Retail Trade,50 - 54,2019,20.7,Female
Transportation & Storage,50 - 54,2019,5.1,Female
Accommodation & Food Services,50 - 54,2019,9.3,Female
Information & Communications,50 - 54,2019,3.5,Female
Financial & Insurance Services,50 - 54,2019,10.0,Female
Real Estate Services,50 - 54,2019,3.5,Female
Professional And Administrative & Support,50 - 54,2019,13.5,Female
Wholesale & Retail Trade,55 - 59,2019,19.6,Female
Transportation & Storage,55 - 59,2019,5.3,Female
Accommodation & Food Services,55 - 59,2019,9.5,Female
Information & Communications,55 - 59,2019,2.6,Female
Financial & Insurance Services,55 - 59,2019,6.5,Female
Real Estate Services,55 - 59,2019,2.5,Female
Professional And Administrative & Support,55 - 59,2019,9.0,Female
Wholesale & Retail Trade,60 - 64,2019,14.6,Female
Transportation & Storage,60 - 64,2019,3.6,Female
Accommodation & Food Services,60 - 64,2019,7.5,Female
Information & Communications,60 - 64,2019,0.9,Female
Financial & Insurance Services,60 - 64,2019,4.2,Female
Real Estate Services,60 - 64,2019,1.7,Female
Professional And Administrative & Support,60 - 64,2019,5.9,Female
Wholesale & Retail Trade,65 or over,2019,11.3,Female
Transportation & Storage,65 or over,2019,2.0,Female
Accommodation & Food Services,65 or over,2019,10.5,Female
Information & Communications,65 or over,2019,0.7,Female
Financial & Insurance Services,65 or over,2019,2.2,Female
Real Estate Services,65 or over,2019,2.2,Female
Professional And Administrative & Support,65 or over,2019,4.4,Female
Wholesale & Retail Trade,15 - 19,2018,2.6,Female
Transportation & Storage,15 - 19,2018,0.5,Female
Accommodation & Food Services,15 - 19,2018,3.0,Female
Information & Communications,15 - 19,2018,0.8,Female
Financial & Insurance Services,15 - 19,2018,0.7,Female
Real Estate Services,15 - 19,2018,0.2,Female
Professional And Administrative & Support,15 - 19,2018,0.8999999999999999,Female
Wholesale & Retail Trade,20 - 24,2018,9.8,Female
Transportation & Storage,20 - 24,2018,3.9,Female
Accommodation & Food Services,20 - 24,2018,5.4,Female
Information & Communications,20 - 24,2018,3.3,Female
Financial & Insurance Services,20 - 24,2018,6.9,Female
Real Estate Services,20 - 24,2018,0.9,Female
Professional And Administrative & Support,20 - 24,2018,7.800000000000001,Female
Wholesale & Retail Trade,25 - 29,2018,14.7,Female
Transportation & Storage,25 - 29,2018,5.8,Female
Accommodation & Food Services,25 - 29,2018,4.9,Female
Information & Communications,25 - 29,2018,5.8,Female
Financial & Insurance Services,25 - 29,2018,13.5,Female
Real Estate Services,25 - 29,2018,2.4,Female
Professional And Administrative & Support,25 - 29,2018,15.9,Female
Wholesale & Retail Trade,30 - 34,2018,17.9,Female
Transportation & Storage,30 - 34,2018,5.7,Female
Accommodation & Food Services,30 - 34,2018,4.7,Female
Information & Communications,30 - 34,2018,5.8,Female
Financial & Insurance Services,30 - 34,2018,15.6,Female
Real Estate Services,30 - 34,2018,2.7,Female
Professional And Administrative & Support,30 - 34,2018,18.3,Female
Wholesale & Retail Trade,35 - 39,2018,22.6,Female
Transportation & Storage,35 - 39,2018,5.8,Female
Accommodation & Food Services,35 - 39,2018,5.1,Female
Information & Communications,35 - 39,2018,6.5,Female
Financial & Insurance Services,35 - 39,2018,15.1,Female
Real Estate Services,35 - 39,2018,2.7,Female
Professional And Administrative & Support,35 - 39,2018,17.8,Female
Wholesale & Retail Trade,40 - 44,2018,22.2,Female
Transportation & Storage,40 - 44,2018,6.0,Female
Accommodation & Food Services,40 - 44,2018,7.2,Female
Information & Communications,40 - 44,2018,5.8,Female
Financial & Insurance Services,40 - 44,2018,15.0,Female
Real Estate Services,40 - 44,2018,3.1,Female
Professional And Administrative & Support,40 - 44,2018,18.1,Female
Wholesale & Retail Trade,45 - 49,2018,23.5,Female
Transportation & Storage,45 - 49,2018,6.7,Female
Accommodation & Food Services,45 - 49,2018,7.7,Female
Information & Communications,45 - 49,2018,4.5,Female
Financial & Insurance Services,45 - 49,2018,12.5,Female
Real Estate Services,45 - 49,2018,3.5,Female
Professional And Administrative & Support,45 - 49,2018,16.0,Female
Wholesale & Retail Trade,50 - 54,2018,22.6,Female
Transportation & Storage,50 - 54,2018,5.0,Female
Accommodation & Food Services,50 - 54,2018,9.7,Female
Information & Communications,50 - 54,2018,2.8,Female
Financial & Insurance Services,50 - 54,2018,9.3,Female
Real Estate Services,50 - 54,2018,2.8,Female
Professional And Administrative & Support,50 - 54,2018,12.100000000000001,Female
Wholesale & Retail Trade,55 - 59,2018,17.0,Female
Transportation & Storage,55 - 59,2018,4.3,Female
Accommodation & Food Services,55 - 59,2018,8.7,Female
Information & Communications,55 - 59,2018,1.8,Female
Financial & Insurance Services,55 - 59,2018,7.0,Female
Real Estate Services,55 - 59,2018,2.9,Female
Professional And Administrative & Support,55 - 59,2018,9.9,Female
Wholesale & Retail Trade,60 - 64,2018,12.9,Female
Transportation & Storage,60 - 64,2018,2.8,Female
Accommodation & Food Services,60 - 64,2018,8.5,Female
Information & Communications,60 - 64,2018,1.3,Female
Financial & Insurance Services,60 - 64,2018,4.0,Female
Real Estate Services,60 - 64,2018,2.8,Female
Professional And Administrative & Support,60 - 64,2018,6.8,Female
Wholesale & Retail Trade,65 or over,2018,10.4,Female
Transportation & Storage,65 or over,2018,1.5,Female
Accommodation & Food Services,65 or over,2018,10.1,Female
Information & Communications,65 or over,2018,0.5,Female
Financial & Insurance Services,65 or over,2018,2.0,Female
Real Estate Services,65 or over,2018,2.2,Female
Professional And Administrative & Support,65 or over,2018,4.2,Female
Wholesale & Retail Trade,15 - 19,2017,2.4,Female
Transportation & Storage,15 - 19,2017,0.6,Female
Accommodation & Food Services,15 - 19,2017,2.6,Female
Information & Communications,15 - 19,2017,0.2,Female
Financial & Insurance Services,15 - 19,2017,0.3,Female
Real Estate Services,15 - 19,2017,0.1,Female
Professional And Administrative & Support,15 - 19,2017,0.4,Female
Wholesale & Retail Trade,20 - 24,2017,10.2,Female
Transportation & Storage,20 - 24,2017,3.2,Female
Accommodation & Food Services,20 - 24,2017,4.6,Female
Information & Communications,20 - 24,2017,2.8,Female
Financial & Insurance Services,20 - 24,2017,5.2,Female
Real Estate Services,20 - 24,2017,1.3,Female
Professional And Administrative & Support,20 - 24,2017,6.5,Female
Wholesale & Retail Trade,25 - 29,2017,14.1,Female
Transportation & Storage,25 - 29,2017,4.6,Female
Accommodation & Food Services,25 - 29,2017,3.5,Female
Information & Communications,25 - 29,2017,5.0,Female
Financial & Insurance Services,25 - 29,2017,15.2,Female
Real Estate Services,25 - 29,2017,2.4,Female
Professional And Administrative & Support,25 - 29,2017,17.599999999999998,Female
Wholesale & Retail Trade,30 - 34,2017,18.2,Female
Transportation & Storage,30 - 34,2017,5.0,Female
Accommodation & Food Services,30 - 34,2017,4.3,Female
Information & Communications,30 - 34,2017,5.4,Female
Financial & Insurance Services,30 - 34,2017,16.3,Female
Real Estate Services,30 - 34,2017,3.6,Female
Professional And Administrative & Support,30 - 34,2017,19.900000000000002,Female
Wholesale & Retail Trade,35 - 39,2017,22.7,Female
Transportation & Storage,35 - 39,2017,5.9,Female
Accommodation & Food Services,35 - 39,2017,5.5,Female
Information & Communications,35 - 39,2017,6.4,Female
Financial & Insurance Services,35 - 39,2017,16.2,Female
Real Estate Services,35 - 39,2017,4.4,Female
Professional And Administrative & Support,35 - 39,2017,20.6,Female
Wholesale & Retail Trade,40 - 44,2017,22.2,Female
Transportation & Storage,40 - 44,2017,5.4,Female
Accommodation & Food Services,40 - 44,2017,7.1,Female
Information & Communications,40 - 44,2017,5.3,Female
Financial & Insurance Services,40 - 44,2017,14.2,Female
Real Estate Services,40 - 44,2017,3.5,Female
Professional And Administrative & Support,40 - 44,2017,17.7,Female
Wholesale & Retail Trade,45 - 49,2017,22.5,Female
Transportation & Storage,45 - 49,2017,5.2,Female
Accommodation & Food Services,45 - 49,2017,8.6,Female
Information & Communications,45 - 49,2017,3.7,Female
Financial & Insurance Services,45 - 49,2017,12.3,Female
Real Estate Services,45 - 49,2017,3.7,Female
Professional And Administrative & Support,45 - 49,2017,16.0,Female
Wholesale & Retail Trade,50 - 54,2017,21.8,Female
Transportation & Storage,50 - 54,2017,4.9,Female
Accommodation & Food Services,50 - 54,2017,9.0,Female
Information & Communications,50 - 54,2017,2.6,Female
Financial & Insurance Services,50 - 54,2017,9.0,Female
Real Estate Services,50 - 54,2017,3.6,Female
Professional And Administrative & Support,50 - 54,2017,12.6,Female
Wholesale & Retail Trade,55 - 59,2017,16.5,Female
Transportation & Storage,55 - 59,2017,4.1,Female
Accommodation & Food Services,55 - 59,2017,9.8,Female
Information & Communications,55 - 59,2017,1.8,Female
Financial & Insurance Services,55 - 59,2017,5.2,Female
Real Estate Services,55 - 59,2017,2.5,Female
Professional And Administrative & Support,55 - 59,2017,7.7,Female
Wholesale & Retail Trade,60 - 64,2017,12.5,Female
Transportation & Storage,60 - 64,2017,2.9,Female
Accommodation & Food Services,60 - 64,2017,9.7,Female
Information & Communications,60 - 64,2017,1.1,Female
Financial & Insurance Services,60 - 64,2017,3.0,Female
Real Estate Services,60 - 64,2017,2.9,Female
Professional And Administrative & Support,60 - 64,2017,5.9,Female
Wholesale & Retail Trade,65 or over,2017,10.3,Female
Transportation & Storage,65 or over,2017,1.2,Female
Accommodation & Food Services,65 or over,2017,9.1,Female
Information & Communications,65 or over,2017,0.4,Female
Financial & Insurance Services,65 or over,2017,1.8,Female
Real Estate Services,65 or over,2017,1.5,Female
Professional And Administrative & Support,65 or over,2017,3.3,Female
Wholesale & Retail Trade,15 - 19,2016,3.2,Female
Transportation & Storage,15 - 19,2016,0.3,Female
Accommodation & Food Services,15 - 19,2016,4.1,Female
Information & Communications,15 - 19,2016,0.3,Female
Financial & Insurance Services,15 - 19,2016,0.5,Female
Real Estate Services,15 - 19,2016,0.1,Female
Professional And Administrative & Support,15 - 19,2016,0.6,Female
Wholesale & Retail Trade,20 - 24,2016,11.6,Female
Transportation & Storage,20 - 24,2016,4.3,Female
Accommodation & Food Services,20 - 24,2016,5.1,Female
Information & Communications,20 - 24,2016,3.3,Female
Financial & Insurance Services,20 - 24,2016,7.3,Female
Real Estate Services,20 - 24,2016,1.1,Female
Professional And Administrative & Support,20 - 24,2016,8.4,Female
Wholesale & Retail Trade,25 - 29,2016,14.6,Female
Transportation & Storage,25 - 29,2016,5.2,Female
Accommodation & Food Services,25 - 29,2016,4.9,Female
Information & Communications,25 - 29,2016,5.9,Female
Financial & Insurance Services,25 - 29,2016,14.3,Female
Real Estate Services,25 - 29,2016,2.5,Female
Professional And Administrative & Support,25 - 29,2016,16.8,Female
Wholesale & Retail Trade,30 - 34,2016,18.5,Female
Transportation & Storage,30 - 34,2016,5.8,Female
Accommodation & Food Services,30 - 34,2016,4.1,Female
Information & Communications,30 - 34,2016,5.7,Female
Financial & Insurance Services,30 - 34,2016,17.5,Female
Real Estate Services,30 - 34,2016,2.7,Female
Professional And Administrative & Support,30 - 34,2016,20.2,Female
Wholesale & Retail Trade,35 - 39,2016,21.6,Female
Transportation & Storage,35 - 39,2016,6.0,Female
Accommodation & Food Services,35 - 39,2016,5.9,Female
Information & Communications,35 - 39,2016,5.5,Female
Financial & Insurance Services,35 - 39,2016,15.2,Female
Real Estate Services,35 - 39,2016,2.7,Female
Professional And Administrative & Support,35 - 39,2016,17.9,Female
Wholesale & Retail Trade,40 - 44,2016,24.0,Female
Transportation & Storage,40 - 44,2016,5.6,Female
Accommodation & Food Services,40 - 44,2016,6.2,Female
Information & Communications,40 - 44,2016,4.8,Female
Financial & Insurance Services,40 - 44,2016,14.4,Female
Real Estate Services,40 - 44,2016,3.8,Female
Professional And Administrative & Support,40 - 44,2016,18.2,Female
Wholesale & Retail Trade,45 - 49,2016,25.0,Female
Transportation & Storage,45 - 49,2016,4.5,Female
Accommodation & Food Services,45 - 49,2016,8.7,Female
Information & Communications,45 - 49,2016,3.4,Female
Financial & Insurance Services,45 - 49,2016,10.9,Female
Real Estate Services,45 - 49,2016,3.0,Female
Professional And Administrative & Support,45 - 49,2016,13.9,Female
Wholesale & Retail Trade,50 - 54,2016,21.6,Female
Transportation & Storage,50 - 54,2016,5.2,Female
Accommodation & Food Services,50 - 54,2016,10.3,Female
Information & Communications,50 - 54,2016,2.9,Female
Financial & Insurance Services,50 - 54,2016,9.8,Female
Real Estate Services,50 - 54,2016,2.9,Female
Professional And Administrative & Support,50 - 54,2016,12.700000000000001,Female
Wholesale & Retail Trade,55 - 59,2016,18.4,Female
Transportation & Storage,55 - 59,2016,4.3,Female
Accommodation & Food Services,55 - 59,2016,10.8,Female
Information & Communications,55 - 59,2016,1.4,Female
Financial & Insurance Services,55 - 59,2016,5.5,Female
Real Estate Services,55 - 59,2016,2.8,Female
Professional And Administrative & Support,55 - 59,2016,8.3,Female
Wholesale & Retail Trade,60 - 64,2016,13.2,Female
Transportation & Storage,60 - 64,2016,2.5,Female
Accommodation & Food Services,60 - 64,2016,9.0,Female
Information & Communications,60 - 64,2016,0.8,Female
Financial & Insurance Services,60 - 64,2016,3.6,Female
Real Estate Services,60 - 64,2016,1.7,Female
Professional And Administrative & Support,60 - 64,2016,5.3,Female
Wholesale & Retail Trade,65 or over,2016,8.0,Female
Transportation & Storage,65 or over,2016,1.6,Female
Accommodation & Food Services,65 or over,2016,9.0,Female
Information & Communications,65 or over,2016,0.6,Female
Financial & Insurance Services,65 or over,2016,1.1,Female
Real Estate Services,65 or over,2016,1.6,Female
Professional And Administrative & Support,65 or over,2016,2.7,Female
Wholesale & Retail Trade,15 - 19,2015,3.5,Female
Transportation & Storage,15 - 19,2015,0.4,Female
Accommodation & Food Services,15 - 19,2015,3.3,Female
Information & Communications,15 - 19,2015,0.6,Female
Financial & Insurance Services,15 - 19,2015,0.6,Female
Professional And Administrative & Support,15 - 19,2015,1.5,Female
Wholesale & Retail Trade,20 - 24,2015,10.1,Female
Transportation & Storage,20 - 24,2015,4.0,Female
Accommodation & Food Services,20 - 24,2015,4.7,Female
Information & Communications,20 - 24,2015,3.7,Female
Financial & Insurance Services,20 - 24,2015,6.5,Female
Real Estate Services,20 - 24,2015,1.3,Female
Professional And Administrative & Support,20 - 24,2015,10.0,Female
Wholesale & Retail Trade,25 - 29,2015,14.6,Female
Transportation & Storage,25 - 29,2015,5.0,Female
Accommodation & Food Services,25 - 29,2015,4.8,Female
Information & Communications,25 - 29,2015,4.6,Female
Financial & Insurance Services,25 - 29,2015,13.1,Female
Real Estate Services,25 - 29,2015,2.7,Female
Professional And Administrative & Support,25 - 29,2015,15.399999999999999,Female
Wholesale & Retail Trade,30 - 34,2015,19.8,Female
Transportation & Storage,30 - 34,2015,5.7,Female
Accommodation & Food Services,30 - 34,2015,4.6,Female
Information & Communications,30 - 34,2015,5.4,Female
Financial & Insurance Services,30 - 34,2015,15.1,Female
Real Estate Services,30 - 34,2015,2.5,Female
Professional And Administrative & Support,30 - 34,2015,14.5,Female
Wholesale & Retail Trade,35 - 39,2015,25.6,Female
Transportation & Storage,35 - 39,2015,6.0,Female
Accommodation & Food Services,35 - 39,2015,6.6,Female
Information & Communications,35 - 39,2015,5.6,Female
Financial & Insurance Services,35 - 39,2015,13.6,Female
Real Estate Services,35 - 39,2015,3.4,Female
Professional And Administrative & Support,35 - 39,2015,15.700000000000001,Female
Wholesale & Retail Trade,40 - 44,2015,24.2,Female
Transportation & Storage,40 - 44,2015,6.3,Female
Accommodation & Food Services,40 - 44,2015,7.2,Female
Information & Communications,40 - 44,2015,5.4,Female
Financial & Insurance Services,40 - 44,2015,12.8,Female
Real Estate Services,40 - 44,2015,4.2,Female
Professional And Administrative & Support,40 - 44,2015,14.100000000000001,Female
Wholesale & Retail Trade,45 - 49,2015,23.7,Female
Transportation & Storage,45 - 49,2015,3.9,Female
Accommodation & Food Services,45 - 49,2015,8.5,Female
Information & Communications,45 - 49,2015,4.2,Female
Financial & Insurance Services,45 - 49,2015,10.4,Female
Real Estate Services,45 - 49,2015,2.9,Female
Professional And Administrative & Support,45 - 49,2015,10.6,Female
Wholesale & Retail Trade,50 - 54,2015,22.1,Female
Transportation & Storage,50 - 54,2015,6.2,Female
Accommodation & Food Services,50 - 54,2015,10.2,Female
Information & Communications,50 - 54,2015,2.6,Female
Financial & Insurance Services,50 - 54,2015,7.2,Female
Real Estate Services,50 - 54,2015,3.9,Female
Professional And Administrative & Support,50 - 54,2015,11.0,Female
Wholesale & Retail Trade,55 - 59,2015,17.1,Female
Transportation & Storage,55 - 59,2015,4.8,Female
Accommodation & Food Services,55 - 59,2015,11.3,Female
Information & Communications,55 - 59,2015,1.2,Female
Financial & Insurance Services,55 - 59,2015,5.5,Female
Real Estate Services,55 - 59,2015,2.7,Female
Professional And Administrative & Support,55 - 59,2015,6.7,Female
